,Laptops_name,Price,RAM
0,ASUS ROG Strix,nan,"<li class=""rgWa7D"">8 GB DDR4 RAM</li>"
1,ASUS ZenBook Duo 14 (2021) Touch Panel Intel EVO Core i7 11th Gen - (16 GB/1 TB SSD/Windows 10 Home) U,nan,"<li class=""rgWa7D"">16 GB LPDDR4X RAM</li>"
2,ASUS VivoBook 15 Core i3 10th Gen - (8 GB/1 TB HDD/Windows 11 Home) X515JA-BQ302W Thin and Light L,nan,"<li class=""rgWa7D"">8 GB DDR4 RAM</li>"
3,Lenovo IdeaPad 3 Core i3 10th Gen - (8 GB/256 GB SSD/Windows 11 Home) 15IML05 Thin and Light L,nan,"<li class=""rgWa7D"">8 GB DDR4 RAM</li>"
4,ASUS VivoBook 15 (2022) Core i5 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) X515EA-EJ,nan,"<li class=""rgWa7D"">8 GB DDR4 RAM</li>"
5,Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15ITL6 Thin and Light L,nan,"<li class=""rgWa7D"">8 GB DDR4 RAM</li>"
6,P Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq2629TU Thin and Light L,nan,"<li class=""rgWa7D"">8 GB DDR4 RAM</li>"
7,ASUS ROG Zephyrus G14 Ryzen 7 Octa Core 4800HS - (8 GB/1 TB SSD/Windows 10 Home/4 GB Graphics/NVIDIA,nan,"<li class=""rgWa7D"">8 GB LPDDR4X RAM</li>"
8,ASUS VivoBook 15 (2022) Core i3 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) X515EA-EJ33,nan,"<li class=""rgWa7D"">8 GB DDR4 RAM</li>"
9,ASUS VivoBook 15 (2022) Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-EJ362WS Thin and L,nan,"<li class=""rgWa7D"">8 GB DDR4 RAM</li>"
10,finix INBook X1 Core i3 10th Gen - (8 GB/256 GB SSD/Windows 11 Home) XL11 Thin and Light L,nan,"<li class=""rgWa7D"">8 GB LPDDR4X RAM</li>"
11,ASUS Vivobook Pro Ryzen 9 Octa Core 5900HX - (8 GB/1 TB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeF,nan,"<li class=""rgWa7D"">8 GB DDR4 RAM</li>"
12,P Ryzen 3 Dual Core 3250U - (8 GB/256 GB SSD/Windows 10 Home) 15s-GY0501AU Thin and Light L,nan,"<li class=""rgWa7D"">8 GB DDR4 RAM</li>"
13,Lenovo Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15IML05 Thin and Light L,nan,"<li class=""rgWa7D"">8 GB DDR4 RAM</li>"
14,ASUS VivoBook 15 (2022) Celeron Quad Core - (4 GB/256 GB SSD/Windows 11 Home) X515MA-BR011W Thin and L,nan,"<li class=""rgWa7D"">4 GB DDR4 RAM</li>"
15,MSI Stealth 15M Core i7 11th Gen - (16 GB/1 TB SSD/Windows 10 Home/6 GB Graphics/NVIDIA GeForce RTX 3,nan,"<li class=""rgWa7D"">16 GB DDR4 RAM</li>"
16,P Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 14s-fq1092au Thin and Light L,nan,"<li class=""rgWa7D"">8 GB DDR4 RAM</li>"
17,ELL Inspiron Athlon Dual Core 3050U - (8 GB/256 GB SSD/Windows 11 Home) Inspiron 3525 Notebook,nan,"<li class=""rgWa7D"">8 GB DDR4 RAM</li>"
18,P Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14s- dy2506TU Thin and Light L,nan,"<li class=""rgWa7D"">8 GB DDR4 RAM</li>"
19,P HP Envy Intel EVO Core i5 11th Gen - (16 GB/512 GB SSD/Windows 10 Home/2 GB Graphics) 13-ba1501TX,nan,"<li class=""rgWa7D"">16 GB DDR4 RAM</li>"
20,ASUS Ryzen 3 Dual Core 3250U 3rd Gen - (8 GB/256 GB SSD/Windows 10 Home) M515DA-BQ322TS Thin and Lig,nan,"<li class=""rgWa7D"">8 GB DDR4 RAM</li>"
21,finix INBook X1 Core i3 10th Gen - (8 GB/256 GB SSD/Windows 11 Home) XL11 Thin and Light L,nan,"<li class=""rgWa7D"">8 GB LPDDR4X RAM</li>"
22,ASUS VivoBook Ultra 14 (2022) Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) X413EA-EB53,nan,"<li class=""rgWa7D"">16 GB DDR4 RAM</li>"
23,ASUS ROG Strix G15 Ryzen 9 Octa Core 5900HX - (16 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA,nan,"<li class=""rgWa7D"">16 GB DDR4 RAM</li>"
